IC,Dev-Atlas RSN,Excluded Components,Not Reproducible Components (Based on replication sample)
1,RSN1,,
2,RSN2,,
3,,x,
4,,x,
5,,x,
6,RSN3,,
7,RSN4,,
8,RSN5,,
9,,x,
10,,x,
11,,x,
12,RSN6,,
13,,x,
14,,x,
15,,x,
16,,x,
17,,x,
18,,x,
19,,,x
20,RSN7,,
21,,x,
22,,x,
23,,x,
24,RSN8,,
25,,x,x
26,RSN9,,
27,,,x
28,RSN10,,
29,RSN11,,
30,RSN12,,
31,,x,
32,,x,
33,,x,
34,,x,
35,RSN13,,
36,,,x
37,RSN14,,
38,,x,
39,RSN15,,
40,RSN16,,
41,,x,
42,,,x
43,,x,
44,RSN17,,
45,RSN18,,
46,,x,
47,RSN19,,
48,RSN20,,
49,,x,
50,RSN21,,
51,,,x
52,RSN22,,
53,RSN23,,
54,,x,
55,RSN24,,
56,,x,
